                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4572,                  3.547,                 1.9193,                0.01051,                0.64062,                0.00885,                0.00369,                 1.9413,                 3.3452,                 1.6201,                 0.0946,                 0.0006,                 0.0006
                      1,                 2.1176,                 3.3593,                 1.7451,                 0.0163,                 0.6875,                0.01548,                0.00663,                 1.7218,                 3.2378,                 1.4622,               0.088287,              0.0012871,              0.0012871
                      2,                 1.9643,                 3.0107,                 1.6378,                0.01758,                0.90625,                0.02893,                0.01265,                 1.7016,                  3.148,                 1.3735,                0.08196,              0.0019604,              0.0019604
                      3,                 1.9486,                 2.4331,                 1.6829,                0.01778,                   0.75,                0.07915,                0.03516,                  1.555,                 3.0136,                 1.3389,                0.07562,              0.0026198,              0.0026198
                      4,                 1.9117,                 2.0085,                 1.7335,                  0.018,                0.84375,                0.62096,                0.31334,                  1.503,                 2.9319,                  1.376,               0.069265,              0.0032654,              0.0032654
                      5,                 1.8472,                 1.7593,                 1.5751,                0.01727,                0.89062,                0.76466,                0.34896,                 1.6615,                 2.8234,                 1.4423,               0.062897,               0.003897,               0.003897
                      6,                 1.8863,                  1.591,                 1.5016,                0.83118,                0.76933,                0.82861,                0.34172,                 1.7398,                 2.7711,                 1.4649,               0.056515,              0.0045149,              0.0045149
                      7,                 1.8744,                 1.5203,                 1.4318,                0.01615,                0.98438,                 0.8164,                0.33677,                 1.7145,                 2.7459,                 1.4238,               0.050119,              0.0051188,              0.0051188
                      8,                 1.7878,                 1.4034,                 1.4156,                      1,                  0.441,                0.91289,                0.43376,                 1.7456,                 2.4056,                 1.3585,               0.043709,               0.005709,               0.005709
                      9,                 1.7441,                 1.2824,                 1.3701,                0.92455,                0.57449,                 0.8923,                0.47372,                 1.7105,                 2.0973,                 1.3339,               0.037285,              0.0062852,              0.0062852
                     10,                 1.8101,                  1.324,                 1.3987,                0.84374,                0.70312,                0.88212,                0.43339,                 1.7169,                 2.0752,                  1.362,               0.030848,              0.0068476,              0.0068476
                     11,                 1.7729,                 1.3642,                 1.4307,                0.94869,                0.57778,                0.88584,                0.44795,                 1.6735,                 2.0234,                 1.3095,               0.024396,              0.0073961,              0.0073961
                     12,                 1.7013,                  1.224,                 1.3349,                0.89227,                   0.75,                0.87423,                0.44584,                 1.7248,                 1.8682,                 1.3698,               0.017931,              0.0079308,              0.0079308
                     13,                 1.7883,                 1.2484,                 1.3779,                0.83098,                0.79688,                0.88929,                0.41023,                 1.8379,                 1.6966,                 1.3993,               0.011452,              0.0084516,              0.0084516
                     14,                 1.7427,                 1.2515,                 1.3567,                0.91359,                0.82601,                 0.9014,                 0.4475,                 1.7429,                 1.4641,                 1.3662,               0.008614,               0.008614,               0.008614
                     15,                 1.7941,                 1.2237,                 1.3656,                0.91452,                0.83592,                0.92753,                0.46313,                 1.7091,                 1.4044,                 1.3755,               0.008614,               0.008614,               0.008614
                     16,                 1.7103,                 1.1558,                 1.3218,                0.93281,                0.86781,                0.94182,                0.46035,                 1.7098,                 1.2847,                 1.3854,               0.008515,               0.008515,               0.008515
                     17,                 1.6532,                  1.164,                 1.3169,                0.91737,                0.86738,                0.96042,                0.45859,                 1.7631,                 1.2153,                 1.3865,               0.008416,               0.008416,               0.008416
                     18,                 1.6641,                 1.1513,                 1.3043,                0.89052,                0.84375,                0.89292,                 0.3913,                 1.8559,                 1.2755,                 1.4646,               0.008317,               0.008317,               0.008317
                     19,                 1.6824,                  1.104,                 1.3114,                0.88495,                0.84132,                0.92157,                0.40222,                 1.9476,                 1.2382,                 1.5133,               0.008218,               0.008218,               0.008218
                     20,                 1.6236,                 1.0784,                 1.2906,                0.83632,                0.95806,                0.96251,                0.42458,                 1.8647,                 1.1032,                 1.4816,               0.008119,               0.008119,               0.008119
                     21,                 1.6223,                 1.0692,                 1.2774,                0.91121,                0.96211,                0.96911,                0.45148,                 1.7948,                  1.046,                 1.4193,                0.00802,                0.00802,                0.00802
                     22,                 1.5902,                 1.0526,                 1.2809,                0.90968,                0.94434,                0.97147,                 0.4311,                  1.787,                 1.0842,                 1.4065,               0.007921,               0.007921,               0.007921
                     23,                 1.6302,                  1.049,                 1.2866,                0.93388,                 0.9375,                0.96403,                0.44565,                 1.7759,                 1.0593,                  1.418,               0.007822,               0.007822,               0.007822
                     24,                 1.6263,                 1.0365,                 1.2857,                0.93903,                0.96875,                0.96574,                0.44726,                 1.7785,                 1.0128,                 1.4637,               0.007723,               0.007723,               0.007723
                     25,                 1.5493,                 1.0183,                 1.2613,                0.92322,                0.96875,                0.96163,                0.47824,                 1.6603,                0.96681,                 1.3774,               0.007624,               0.007624,               0.007624
                     26,                 1.5487,                 1.0078,                 1.2507,                0.92424,                0.96875,                0.96684,                0.48873,                 1.6725,                0.98607,                  1.388,               0.007525,               0.007525,               0.007525
                     27,                  1.541,                0.98237,                 1.2482,                 0.9476,                0.95312,                 0.9708,                0.47098,                 1.6836,                0.90644,                 1.3773,               0.007426,               0.007426,               0.007426
                     28,                 1.5929,                 1.0126,                 1.2859,                0.90556,                0.96875,                0.93664,                0.43705,                   1.73,                 1.0117,                 1.4326,               0.007327,               0.007327,               0.007327
                     29,                 1.6085,                 1.0417,                 1.2878,                0.92483,                 0.9612,                0.96643,                0.46599,                 1.7088,                0.95814,                 1.4057,               0.007228,               0.007228,               0.007228
                     30,                 1.5091,                0.94864,                 1.2568,                0.96913,                 0.9811,                0.98013,                0.49887,                 1.6891,                0.84876,                 1.3964,               0.007129,               0.007129,               0.007129
                     31,                 1.5467,                0.93728,                 1.2608,                0.94586,                0.98438,                0.97138,                0.50487,                 1.6259,                0.84095,                 1.3311,                0.00703,                0.00703,                0.00703
                     32,                 1.4877,                0.91112,                 1.2119,                0.96055,                0.96875,                0.97405,                0.46586,                 1.7338,                0.89324,                 1.3814,               0.006931,               0.006931,               0.006931
                     33,                  1.476,                0.90113,                 1.2261,                0.91008,                0.94887,                0.93659,                0.45486,                 1.6824,                0.86664,                 1.3548,               0.006832,               0.006832,               0.006832
                     34,                 1.4465,                0.87516,                 1.1995,                0.89959,                 0.9375,                0.94544,                0.45241,                 1.6671,                0.93285,                 1.3662,               0.006733,               0.006733,               0.006733
                     35,                 1.4719,                0.89459,                 1.2046,                0.81811,                0.95312,                0.89144,                0.40502,                 1.7381,                 1.0693,                 1.4308,               0.006634,               0.006634,               0.006634
